Threat_date,Title,Summary,Source,Location,Threat_level
2020-11-12,"Man who dragged woman into laneway may avoid prison, court hears","A man cleared of intending to sexually assault a woman he dragged into a city laneway may avoid prison on a lesser charge, a court has heard.",https://www.smh.com.au/national/victoria/man-who-dragged-woman-into-laneway-may-avoid-prison-court-hears-20201112-p56e0u.html,,27.0
2020-11-12,Ex-northern beaches teacher arrested for historical sexual assault of student,The 67-year-old woman is accused of abusing a student at Beacon Hill High School from 1978 to 1980.,https://www.smh.com.au/national/nsw/ex-northern-beaches-teacher-arrested-for-historical-sexual-assault-of-student-20201112-p56dzm.html,,27.0
2020-11-11,Charges against Mildura pair dropped over neighbours Aboriginal flag dispute,Criminal charges against a Mildura pair filmed trying to tear down an Aboriginal flag and questioning their neighbours Indigenous identity have been dropped.,https://www.smh.com.au/national/victoria/charges-against-mildura-pair-dropped-over-neighbour-s-aboriginal-flag-dispute-20201111-p56dpm.html,Mildura,27.0
2020-11-10,Least worst option as sex assault survivors win right to speak,Survivors of rape and sexual assault will be able to publicly identify themselves after an emotional night in Parliament.,https://www.smh.com.au/national/victoria/mps-move-step-closer-to-reform-on-right-to-identify-sexual-assault-victims-20201110-p56dds.html,,13.0
2020-11-10,One arrest leads to discovery of global online paedophile network,"During the operation, police uncovered what is believed to be an extensive online paedophile network used to share photos and videos of child abuse.",https://www.smh.com.au/national/nsw/global-online-paedophile-photo-and-video-network-allegedly-uncovered-after-nsw-child-sex-arrest-20201110-p56d6z.html,,27.0
2020-11-10,Woman charged after alleged Valley bus incident left man with puncture wound,Police had said initial investigations suggested the man was allegedly confronted while exiting the bus near the corner of Brunswick and Robertson streets on Monday.,https://www.smh.com.au/national/queensland/woman-charged-after-alleged-valley-bus-incident-left-man-with-puncture-wound-20201110-p56de0.html,Valley bus  Brunswick,27.0
2020-11-10,Crime scene declared after suspicious fire at Gold Coast brothel,Police are investigating the fire that occurred in the early hours of Tuesday morning.,https://www.smh.com.au/national/queensland/gold-coast-brothel-fire-deemed-suspicious-20201110-p56d8i.html,Gold Coast ,27.0
2020-11-10,NSW proposes new laws to recognise pregnancies lost as result of crime,The proposal has angered some Coalition MPs because it does not create a separate criminal offence.,https://www.smh.com.au/national/nsw-proposes-new-laws-to-recognise-pregnancies-lost-as-result-of-crime-20201110-p56day.html,,13.0
2020-11-10,Senior Jesuits charged with historical sex offences at Sydney’s Saint Ignatius College Riverview,One man had a senior role in Rome and the other recently served as spiritual director at the Corpus Christi seminary in Melbourne. Both will face court on Wednesday.,https://www.smh.com.au/national/senior-jesuits-charged-with-historic-sex-offences-at-sydney-s-st-ignatius-college-riverview-20201110-p56d94.html,Sydney Rome Corpus Christi Melbourne,27.0
2020-11-10,He grabbed me like this: Girl shows court how Kyle Daniels allegedly touched her,A seven-year-old girl has stood up and pulled at the crotch of her pants to demonstrate how she says her swim coach touched her during lessons in 2019.,https://www.smh.com.au/national/nsw/he-grabbed-me-like-this-girl-shows-court-how-kyle-daniels-allegedly-touched-her-20201110-p56d65.html,,27.0
